Datetime,open,high,low,close,volume,Dividends,Stock Splits,symbol,timeframe,timestamp
2024-01-02 04:00:00-05:00,376.92,377.32,376.16,376.6,0,0.0,0.0,MSFT,1h,2024-01-02 04:00:00-05:00
2024-01-02 05:00:00-05:00,376.6,376.63,375.65,375.66,0,0.0,0.0,MSFT,1h,2024-01-02 05:00:00-05:00
2024-01-02 06:00:00-05:00,375.71,375.74,373.58,373.6,0,0.0,0.0,MSFT,1h,2024-01-02 06:00:00-05:00
2024-01-02 07:00:00-05:00,373.6,373.87,373.0,373.8,0,0.0,0.0,MSFT,1h,2024-01-02 07:00:00-05:00
2024-01-02 08:00:00-05:00,373.8,378.24,372.51,373.37,0,0.0,0.0,MSFT,1h,2024-01-02 08:00:00-05:00
2024-01-02 09:00:00-05:00,373.25,376.32,373.11,373.57,0,0.0,0.0,MSFT,1h,2024-01-02 09:00:00-05:00
2024-01-02 09:30:00-05:00,375.5,375.8999938964844,366.77099609375,368.29998779296875,6438914,0.0,0.0,MSFT,1h,2024-01-02 09:30:00-05:00
2024-01-02 10:30:00-05:00,368.25,369.9800109863281,367.0,369.9700012207031,2726569,0.0,0.0,MSFT,1h,2024-01-02 10:30:00-05:00
2024-01-02 11:30:00-05:00,369.9599914550781,371.3599853515625,369.8999938964844,370.47698974609375,1957295,0.0,0.0,MSFT,1h,2024-01-02 11:30:00-05:00
2024-01-02 12:30:00-05:00,370.474609375,371.0199890136719,369.1400146484375,369.6300048828125,1609221,0.0,0.0,MSFT,1h,2024-01-02 12:30:00-05:00
2024-01-02 13:30:00-05:00,369.635009765625,370.20001220703125,368.8900146484375,369.54998779296875,1243301,0.0,0.0,MSFT,1h,2024-01-02 13:30:00-05:00
2024-01-02 14:30:00-05:00,369.5400085449219,369.760009765625,368.2850036621094,369.32000732421875,1743397,0.0,0.0,MSFT,1h,2024-01-02 14:30:00-05:00
2024-01-02 15:30:00-05:00,369.32000732421875,371.20001220703125,369.2257995605469,370.7300109863281,3235802,0.0,0.0,MSFT,1h,2024-01-02 15:30:00-05:00
2024-01-02 16:00:00-05:00,370.85,372.09,370.0823,370.85,0,0.0,0.0,MSFT,1h,2024-01-02 16:00:00-05:00
2024-01-02 17:00:00-05:00,370.84,374.29422,346.6775,370.6,0,0.0,0.0,MSFT,1h,2024-01-02 17:00:00-05:00
2024-01-02 18:00:00-05:00,370.87,370.9,369.5,369.61,0,0.0,0.0,MSFT,1h,2024-01-02 18:00:00-05:00
2024-01-03 04:00:00-05:00,370.0,370.7,367.0,368.31,0,0.0,0.0,MSFT,1h,2024-01-03 04:00:00-05:00
2024-01-03 05:00:00-05:00,368.04,368.65,367.4,368.19,0,0.0,0.0,MSFT,1h,2024-01-03 05:00:00-05:00
2024-01-03 06:00:00-05:00,368.17,368.75,367.66,367.76,0,0.0,0.0,MSFT,1h,2024-01-03 06:00:00-05:00
2024-01-03 07:00:00-05:00,367.76,368.06,367.3,367.44,0,0.0,0.0,MSFT,1h,2024-01-03 07:00:00-05:00
2024-01-03 08:00:00-05:00,367.47,370.87,367.21,368.4,0,0.0,0.0,MSFT,1h,2024-01-03 08:00:00-05:00
