timestamp,open,high,low,close,volume,symbol,timeframe
2024-12-03 15:00:00,242.38,242.38,241.91,241.94009,834494,AAPL,15m
2024-12-03 15:15:00,241.94,242.11,241.85001,242.053207,789520,AAPL,15m
2024-12-03 15:30:00,242.059998,242.3999,242.059998,242.35001,905636,AAPL,15m
2024-12-03 15:45:00,242.34,242.755,242.14999,242.63,2798697,AAPL,15m
2024-12-04 09:30:00,242.88,243.756,242.50999,243.020004,3317972,AAPL,15m
2024-12-04 09:45:00,243.054993,243.88,243.020004,243.57001,1612139,AAPL,15m
2024-12-04 10:00:00,243.53999,244.105,243.14999,243.55,2150840,AAPL,15m
2024-12-04 10:15:00,243.57001,243.67,243.24001,243.45,1328914,AAPL,15m
2024-12-04 10:30:00,243.44,243.69,243.27,243.39999,925880,AAPL,15m
2024-12-04 10:45:00,243.39999,243.63,243.17999,243.465,902553,AAPL,15m
2024-12-04 11:00:00,243.47,243.82001,243.28,243.35001,733040,AAPL,15m
2024-12-04 11:15:00,243.34,243.39,242.85001,242.905,914791,AAPL,15m
2024-12-04 11:30:00,242.905,242.9099,242.11,242.14999,1669540,AAPL,15m
2024-12-04 11:45:00,242.1548,242.60001,242.14999,242.5,3432983,AAPL,15m
2024-12-04 12:00:00,242.48,242.485,241.92,242.065002,931099,AAPL,15m
2024-12-04 12:15:00,242.050003,242.17999,241.25,242.039902,1149792,AAPL,15m
2024-12-04 12:30:00,242.039993,242.16,241.64,241.94501,599157,AAPL,15m
2024-12-04 12:45:00,241.955,242.5,241.94,242.3687,604840,AAPL,15m
2024-12-04 13:00:00,242.36501,242.48689,242.26331,242.33501,512069,AAPL,15m
2024-12-04 13:15:00,242.34,242.50999,242.21001,242.2587,473834,AAPL,15m
2024-12-04 13:30:00,242.24001,242.285,241.92999,242.12,520062,AAPL,15m
2024-12-04 13:45:00,242.13989,242.88,242.13989,242.50999,676598,AAPL,15m
2024-12-04 14:00:00,242.52499,242.89999,242.39,242.83,1325091,AAPL,15m
2024-12-04 14:15:00,242.84,243.17641,242.82001,243.070007,533701,AAPL,15m
2024-12-04 14:30:00,243.059998,243.125,242.78,242.87,597925,AAPL,15m
2024-12-04 14:45:00,242.88,243.0,242.82001,242.9101,925717,AAPL,15m
2024-12-04 15:00:00,242.91,243.0,242.83,242.935,612677,AAPL,15m
2024-12-04 15:15:00,242.92999,243.050003,242.88499,242.985,615331,AAPL,15m
2024-12-04 15:30:00,242.985,243.19,242.85001,243.074997,877650,AAPL,15m
2024-12-04 15:45:00,243.074997,243.53999,242.8261,243.020004,2860887,AAPL,15m
2024-12-05 09:30:00,244.050003,244.53999,242.7128,243.1501,4036529,AAPL,15m
2024-12-05 09:45:00,243.155,243.52,243.0,243.5,1587530,AAPL,15m
2024-12-05 10:00:00,243.455,243.57001,243.050003,243.12,1528855,AAPL,15m
2024-12-05 10:15:00,243.12,243.205,242.77,242.92999,1136483,AAPL,15m
2024-12-05 10:30:00,242.92999,243.080002,242.67,242.92,900349,AAPL,15m
2024-12-05 10:45:00,242.91,242.97,242.24001,242.35001,1116909,AAPL,15m
2024-12-05 11:00:00,242.37,242.77,242.23,242.595,911778,AAPL,15m
2024-12-05 11:15:00,242.60001,242.75999,242.47,242.55,668548,AAPL,15m
2024-12-05 11:30:00,242.545,242.58501,242.33,242.46001,1834411,AAPL,15m
2024-12-05 11:45:00,242.47,242.66991,242.31,242.63,607088,AAPL,15m
2024-12-05 12:00:00,242.625,243.2505,242.46001,243.1884,841259,AAPL,15m
2024-12-05 12:15:00,243.185,243.4099,243.1109,243.36,979684,AAPL,15m
2024-12-05 12:30:00,243.35831,243.37,243.029999,243.080002,754661,AAPL,15m
2024-12-05 12:45:00,243.089996,243.245,242.78999,242.89,835339,AAPL,15m
2024-12-05 13:00:00,242.89,243.14,242.85001,243.11501,640414,AAPL,15m
2024-12-05 13:15:00,243.11,243.25,242.61,242.88499,742821,AAPL,15m
2024-12-05 13:30:00,242.89,243.32269,242.84,243.13,768749,AAPL,15m
2024-12-05 13:45:00,243.13,243.25999,242.95,243.215,436055,AAPL,15m
2024-12-05 14:00:00,243.2299,243.59,243.0,243.5401,710878,AAPL,15m
2024-12-05 14:15:00,243.545,243.69,243.25999,243.28,597910,AAPL,15m
2024-12-05 14:30:00,243.285,243.36,242.97,243.079895,1073555,AAPL,15m
2024-12-05 14:45:00,243.072495,243.1299,242.98,243.11501,427136,AAPL,15m
2024-12-05 15:00:00,243.12,243.27,242.89,242.99001,733337,AAPL,15m
