Datetime,open,high,low,close,volume,Dividends,Stock Splits,symbol,timeframe,timestamp
2024-01-02 04:00:00-05:00,353.61,355.21,353.61,354.63,0,0.0,0.0,META,1h,2024-01-02 04:00:00-05:00
2024-01-02 05:00:00-05:00,354.74,355.0,354.2,354.2,0,0.0,0.0,META,1h,2024-01-02 05:00:00-05:00
2024-01-02 06:00:00-05:00,354.2,354.44,351.85,351.9,0,0.0,0.0,META,1h,2024-01-02 06:00:00-05:00
2024-01-02 07:00:00-05:00,351.71,351.8,350.07,350.97,0,0.0,0.0,META,1h,2024-01-02 07:00:00-05:00
2024-01-02 08:00:00-05:00,351.08,355.0,350.01,350.14,0,0.0,0.0,META,1h,2024-01-02 08:00:00-05:00
2024-01-02 09:00:00-05:00,350.14,359.28,349.59,350.59,0,0.0,0.0,META,1h,2024-01-02 09:00:00-05:00
2024-01-02 09:30:00-05:00,352.7900085449219,353.1600036621094,341.5,341.57000732421875,4971793,0.0,0.0,META,1h,2024-01-02 09:30:00-05:00
2024-01-02 10:30:00-05:00,341.5299987792969,344.239990234375,340.010009765625,344.0213928222656,3113774,0.0,0.0,META,1h,2024-01-02 10:30:00-05:00
2024-01-02 11:30:00-05:00,344.0799865722656,346.835205078125,344.05999755859375,345.2200012207031,1858825,0.0,0.0,META,1h,2024-01-02 11:30:00-05:00
2024-01-02 12:30:00-05:00,345.25,345.8399963378906,343.0,344.17999267578125,1306669,0.0,0.0,META,1h,2024-01-02 12:30:00-05:00
2024-01-02 13:30:00-05:00,344.1600036621094,344.45001220703125,342.3800048828125,344.2200012207031,1276627,0.0,0.0,META,1h,2024-01-02 13:30:00-05:00
2024-01-02 14:30:00-05:00,344.2099914550781,344.625,342.2900085449219,344.54998779296875,1573729,0.0,0.0,META,1h,2024-01-02 14:30:00-05:00
2024-01-02 15:30:00-05:00,344.5400085449219,346.510009765625,343.3349914550781,346.25,1832073,0.0,0.0,META,1h,2024-01-02 15:30:00-05:00
2024-01-02 16:00:00-05:00,346.29,347.93,344.5,346.6784,0,0.0,0.0,META,1h,2024-01-02 16:00:00-05:00
